ImageCaptionDataset,COCO_VAL
ImageYORNDataset,MME
ImageYORNDataset,HallusionBench
ImageYORNDataset,POPE
ImageYORNDataset,AMBER
ImageYORNDataset,VSR-zeroshot
ImageMCQDataset,MMBench_DEV_EN
ImageMCQDataset,MMBench_TEST_EN
ImageMCQDataset,MMBench_DEV_CN
ImageMCQDataset,MMBench_TEST_CN
ImageMCQDataset,MMBench_DEV_KO
ImageMCQDataset,MMBench
ImageMCQDataset,MMBench_CN
ImageMCQDataset,MMBench_DEV_EN_V11
ImageMCQDataset,MMBench_TEST_EN_V11
ImageMCQDataset,MMBench_DEV_CN_V11
ImageMCQDataset,MMBench_TEST_CN_V11
ImageMCQDataset,MMBench_V11
ImageMCQDataset,MMBench_CN_V11
ImageMCQDataset,SEEDBench_IMG
ImageMCQDataset,SEEDBench_IMG_KO
ImageMCQDataset,SEEDBench2
ImageMCQDataset,SEEDBench2_Plus
ImageMCQDataset,ScienceQA_VAL
ImageMCQDataset,ScienceQA_TEST
ImageMCQDataset,MMT-Bench_ALL_MI
ImageMCQDataset,MMT-Bench_ALL
ImageMCQDataset,MMT-Bench_VAL_MI
ImageMCQDataset,MMT-Bench_VAL
ImageMCQDataset,AesBench_VAL
ImageMCQDataset,AesBench_TEST
ImageMCQDataset,Q-Bench1_VAL
ImageMCQDataset,Q-Bench1_TEST
ImageMCQDataset,A-Bench_VAL
ImageMCQDataset,A-Bench_TEST
ImageMCQDataset,R-Bench-Dis
ImageMCQDataset,R-Bench-Ref
ImageMCQDataset,CCBench
ImageMCQDataset,AI2D_TEST
ImageMCQDataset,AI2D_TEST_NO_MASK
ImageMCQDataset,MMStar
ImageMCQDataset,MMStar_KO
ImageMCQDataset,RealWorldQA
ImageMCQDataset,MLLMGuard_DS
ImageMCQDataset,BLINK
ImageMCQDataset,BLINK_circular
ImageMCQDataset,TaskMeAnything_v1_imageqa_random
ImageMCQDataset,A-OKVQA
ImageMCQDataset,WorldMedQA-V
ImageMCQDataset,VisOnlyQA-VLMEvalKit
ImageMCQDataset,MMCR
ImageMCQDataset,MMSci_DEV_MCQ
ImageMCQDataset,MMVP
ImageMCQDataset,K-DTCBench
ImageMCQDataset,MMBench_V11_MINI
ImageMCQDataset,MMStar_MINI
ImageMCQDataset,AI2D_MINI
ImageMCQDataset,VStarBench
ImageMCQDataset,PathMMU_VAL
ImageMCQDataset,PathMMU_TEST
ImageMCQDataset,CMMU_MCQ
